,blog_title,blog_url,id,scheduled_post,xml
877,Kumpulan Resep Enak,https://daryna.blogtivity.id/accounts/blogdetails/data/Ooy2exccS68M67pSoQDjkrq0AARtODF5YUZ1dTM5ZlZOZFlRZEF4Y05YbWNpdz09X1lyNlgh77r7OKj0TFNK7149WLpjKYdM,1625847516.0,0.0,-
878,Pusat Resep Terbaru,https://daryna.blogtivity.id/accounts/blogdetails/data/uEboRv5ycBFzYnOj46eyovsrE6NBajHGQ1RQa1BiQndleSt4Z2JFZERsSmJwZz091IFs85tjeFc0u4yFaCqAsXHJtecdhTcC,1625847517.0,0.0,-
879,Sumber Resep Praktis,https://daryna.blogtivity.id/accounts/blogdetails/data/QINaCP4ciDqohRuvoespY4wMAssck3I4OXRiSEZuQWF5NlNWZGVTdnlzeXp6QT09E61iQO349Grtg6bw6pE6Agm5Ve1D6uVa,1625847517.0,0.0,-
880,Koleksi Resep Terbaru,https://daryna.blogtivity.id/accounts/blogdetails/data/mK2PvPDrjQ6IxwcHizI5j8F3oK5XhPSHMVpWVUU4SXNkN2FMN2Fvc2Q3N1kzZz09SVWxrN2VihA2OoImCgNv0sDuNOnOAozo,1625847518.0,0.0,-
881,Informasi Resep Termudah,https://daryna.blogtivity.id/accounts/blogdetails/data/Mv4o0fKQktNgxN68t47sV6B9ijAaMGwzZDRDb2F0SEwzcjhYVStBT2dHd2NXQT09Z2MwbXVxPxPcJAol9tnjA7akHXh3dBpC,1625847518.0,0.0,-
884,Thrill Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/oxXHokK0o5WxqZJxuFb7ylRN8rPYdZ2SclZ5OGZSMjNhZWhocm5TZHh5YXAyUT09zdNmFPFI9fsgzZpbRLCf9N9mrNPLRupq,1625849032.0,0.0,-
889,Electrify Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/MHnGKMWgSNWjt9zgAIGTIrJh57ZuUCOuYU42OUJkTDN2UDAvUTA0SENrYUVYUT09IOMcuTSlsFNTyC3lU71ig7zeWhcuBi9a,1625849035.0,0.0,-
995,Brilliant Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/rwjpNl97s7IZ84Rx0sZWjMmRlu9BYj6IMVBEMWtsSUZENFFoM1pmQ0djeVJUUT09JbrUh4A95NByA0RWJUsf9RfQmlDUHbV0,1626117601.0,0.0,-
862,Daftar Resep Termudah,https://daryna.blogtivity.id/accounts/blogdetails/data/3nd5EHP6h2ressH4mdNYRrLR5LH4nvNrcGtSbmNkcG10eDArR29XcFhJOWlYdz09UEvvI9xWjZSdrCclxs8vhTOUgh40Tzp7,1625844679.0,0.0,-
1032,Enchant Home Decor,https://daryna.blogtivity.id/accounts/blogdetails/data/xdEK4KzcXhKPkaJkAn92xQ9UrPFU3NuhdXFSb1RvZkdjLzJQYlBkMHlTR1ZiUT09LzVn8RRfByxKmZYVONQYrLMYwRvyHblm,1626124058.0,0.0,-
